"scenario","run","seed","model","precision","recall","f1","accuracy","true_negatives","false_positives","false_negatives","true_positives","roc_auc","pr_auc","best_threshold","best_precision","best_recall","best_f1","best_true_negatives","best_false_positives","best_false_negatives","best_true_positives","label_source","evaluation_mode","train_samples"
"aggressive","4","1014","ocsvm","0.555059523809524","1","0.713875598086124","0.665173572228443","221","299","0","373","0.999927820169107","0.999898958697595","10.7663387842054","0.994666666666667","1","0.997326203208556","518","2","0","373","traffic_ground_truth_ip_window","warmup_normal_baseline","122"
"aggressive","4","1014","ensemble_majority_vote","0.554234769687964","1","0.713193116634799","0.664053751399776","220","300","0","373","0.999829861827181","0.999760940605852","3.62460954821799","0.992021276595745","1","0.995994659546061","517","3","0","373","traffic_ground_truth_ip_window","warmup_normal_baseline","122"
"aggressive","4","1014","isolation_forest_tuned","0.535150645624103","1","0.697196261682243","0.637178051511758","196","324","0","373","0.989234893792535","0.968192420846055","0.173887154786188","0.9328165374677","0.967828418230563","0.95","494","26","12","361","traffic_ground_truth_ip_window","warmup_normal_baseline","122"
"aggressive","4","1014","isolation_forest","0.534383954154728","1","0.696545284780579","0.636058230683091","195","325","0","373","0.99140544442153","0.942259327374724","0.195541665306561","0.983651226158038","0.967828418230563","0.975675675675676","514","6","12","361","traffic_ground_truth_ip_window","warmup_normal_baseline","122"
"aggressive","5","1015","isolation_forest_tuned","0.526315789473684","1","0.689655172413793","0.616812227074236","175","351","0","390","0.937067368626304","0.833562659149841","0.202175693000387","0.854066985645933","0.915384615384615","0.883663366336634","465","61","33","357","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","5","1015","lof","0.526315789473684","1","0.689655172413793","0.616812227074236","175","351","0","390","0.974948815443112","0.969705223224572","2.62179359815111","0.9533527696793","0.838461538461538","0.892223738062756","510","16","63","327","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","5","1015","ocsvm","0.525606469002695","1","0.68904593639576","0.615720524017467","174","352","0","390","0.999049429657795","0.998721227621483","11.000267029152","0.997442455242967","1","0.998719590268886","525","1","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","5","1015","ensemble_majority_vote","0.524899057873486","1","0.688437775816417","0.614628820960699","173","353","0","390","0.998635078482987","0.997968623205543","4.57208231214265","0.982233502538071","0.992307692307692","0.987244897959184","519","7","3","387","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","5","1015","isolation_forest","0.524193548387097","1","0.687830687830688","0.61353711790393","172","354","0","390","0.947314029443307","0.843016898694039","0.221231928454963","0.88265306122449","0.887179487179487","0.884910485933504","480","46","44","346","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","6","1016","lof","0.557142857142857","1","0.715596330275229","0.660831509846827","214","310","0","390","0.992155999217068","0.990330801588431","0.688830444869194","0.965608465608466","0.935897435897436","0.950520833333333","511","13","25","365","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","6","1016","isolation_forest_tuned","0.53206002728513","1","0.694568121104185","0.62472647702407","181","343","0","390","0.927069876688197","0.87695064507474","0.186973665977447","0.764344262295082","0.956410256410256","0.849658314350797","409","115","17","373","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","6","1016","ensemble_majority_vote","0.53133514986376","1","0.693950177935943","0.62363238512035","180","344","0","390","0.999290467801918","0.999017647955572","3.51479638350019","0.987341772151899","1","0.993630573248408","519","5","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","6","1016","isolation_forest","0.529172320217096","1","0.692102928127773","0.62035010940919","177","347","0","390","0.938251125464866","0.912467624534959","0.195591336531208","0.834928229665072","0.894871794871795","0.863861386138614","455","69","41","349","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","6","1016","ocsvm","0.528455284552846","1","0.691489361702128","0.61925601750547","176","348","0","390","0.999045801526718","0.998721227621483","9.6837589258646","0.997442455242967","1","0.998719590268886","523","1","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","7","1017","lof","0.750499001996008","0.964102564102564","0.843995510662177","0.847587719298246","397","125","14","376","0.980700461734945","0.978008518999774","0.478060301927394","0.940700808625337","0.894871794871795","0.917214191852825","500","22","41","349","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","7","1017","isolation_forest_tuned","0.553191489361702","1","0.712328767123288","0.654605263157895","207","315","0","390","0.954509283819629","0.847173877417091","0.179956924715072","0.930455635491607","0.994871794871795","0.961586121437423","493","29","2","388","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","7","1017","ocsvm","0.552407932011331","1","0.711678832116788","0.653508771929825","206","316","0","390","1","1","9.08792855990684","1","1","1","522","0","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","7","1017","isolation_forest","0.551626591230552","1","0.711030082041933","0.652412280701754","205","317","0","390","0.968469397779743","0.86322204740551","0.213572569210741","0.954659949622166","0.971794871794872","0.963151207115629","504","18","11","379","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","7","1017","ensemble_majority_vote","0.550847457627119","1","0.710382513661202","0.651315789473684","204","318","0","390","0.999882110226938","0.999838799970102","3.0884923295881","0.994897959183674","1","0.997442455242967","520","2","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","8","1018","lof","0.706739526411658","1","0.828175026680896","0.823271130625686","362","161","0","388","0.987877234826832","0.986699026447946","2.7764238962752","1","0.927835051546392","0.962566844919786","523","0","28","360","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","8","1018","ocsvm","0.614896988906498","1","0.76153091265947","0.733260153677278","280","243","0","388","1","1","8.97138878353557","1","1","1","523","0","0","388","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","8","1018","ensemble_majority_vote","0.608150470219436","1","0.756335282651072","0.725576289791438","273","250","0","388","0.999862017306972","0.999811325212395","3.06690581076498","0.9923273657289","1","0.99614890885751","520","3","0","388","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","8","1018","isolation_forest_tuned","0.548797736916549","1","0.708675799086758","0.649835345773875","204","319","0","388","0.997028444146577","0.982423023149285","0.140836058741647","0.97979797979798","1","0.989795918367347","515","8","0","388","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","8","1018","isolation_forest","0.544943820224719","1","0.705454545454545","0.644346871569704","199","324","0","388","0.995027695097672","0.925537364792623","0.144831037856261","0.965174129353234","1","0.982278481012658","509","14","0","388","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","9","1019","lof","0.533057851239669","1","0.695417789757412","0.62788144895719","185","339","0","387","0.958685918298913","0.949334851563223","3.85501232092033","0.953846153846154","0.801033591731266","0.870786516853933","509","15","77","310","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","9","1019","ensemble_majority_vote","0.528688524590164","1","0.691689008042895","0.621295279912184","179","345","0","387","0.993747164526501","0.990566790393064","5.09695631088693","0.939320388349515","1","0.968710888610763","499","25","0","387","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","9","1019","isolation_forest","0.526530612244898","1","0.689839572192513","0.618002195389682","176","348","0","387","0.995019429157544","0.993550831382554","0.228720802549882","0.976127320954907","0.950904392764858","0.963350785340314","515","9","19","368","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","9","1019","isolation_forest_tuned","0.526530612244898","1","0.689839572192513","0.618002195389682","176","348","0","387","0.795599345128903","0.583110934757433","0.207336689356971","0.73695652173913","0.875968992248062","0.80047225501771","403","121","48","339","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","9","1019","ocsvm","0.522972972972973","1","0.686779059449867","0.61251372118551","171","353","0","387","0.998091603053435","0.997429305912596","11.4709379668869","0.994858611825193","1","0.997422680412371","522","2","0","387","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","10","1020","lof","0.532786885245902","1","0.695187165775401","0.625","180","342","0","390","0.958797524314766","0.948269322730476","2.57945419951868","0.82830626450116","0.915384615384615","0.869671132764921","448","74","33","357","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","10","1020","isolation_forest","0.527740189445196","1","0.690876882196634","0.617324561403509","173","349","0","390","0.965703900186659","0.852130248008739","0.246734702529041","0.939759036144578","1","0.968944099378882","497","25","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","10","1020","ensemble_majority_vote","0.527027027027027","1","0.690265486725664","0.616228070175439","172","350","0","390","0.995520188623637","0.993468169142096","4.45368029149418","0.946601941747573","1","0.972568578553616","500","22","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","10","1020","isolation_forest_tuned","0.525606469002695","1","0.68904593639576","0.614035087719298","170","352","0","390","0.960305530995186","0.849372085620895","0.225827282750353","0.912941176470588","0.994871794871795","0.952147239263804","485","37","2","388","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"aggressive","10","1020","ocsvm","0.524899057873486","1","0.688437775816417","0.612938596491228","169","353","0","390","0.99904214559387","0.998721227621483","10.685804702185","0.997442455242967","1","0.998719590268886","521","1","0","390","traffic_ground_truth_ip_window","warmup_normal_baseline","126"
"mostly-normal","1","1021","isolation_forest_tuned","0.321543408360129","1","0.48661800486618","0.753216374269006","544","211","0","100","0.981562913907285","0.772340484269578","0.112750707105796","0.774193548387097","0.96","0.857142857142857","727","28","4","96","traffic_ground_truth_ip_window","warmup_normal_baseline","173"
"mostly-normal","1","1021","ensemble_majority_vote","0.286532951289398","1","0.44543429844098","0.708771929824561","506","249","0","100","0.999960264900662","0.999707310108509","4.48552326197905","1","0.99","0.994974874371859","755","0","1","99","traffic_ground_truth_ip_window","warmup_normal_baseline","173"
"mostly-normal","1","1021","ocsvm","0.28169014084507","1","0.43956043956044","0.701754385964912","500","255","0","100","1","1","11.8462676231646","1","1","1","755","0","0","100","traffic_ground_truth_ip_window","warmup_normal_baseline","173"
"mostly-normal","1","1021","isolation_forest","0.280898876404494","1","0.43859649122807","0.700584795321637","499","256","0","100","0.978887417218543","0.775360933136369","0.145547925860432","0.695652173913043","0.96","0.80672268907563","713","42","4","96","traffic_ground_truth_ip_window","warmup_normal_baseline","173"
